Location,Date,Lunar,Lights,Wharf_lights,Weather,WindSpeed,Wind Direction,Box,Total_LESP,Alive_LESP,Dead_LESP,Other_Birds,Cats,Gulls,Number_of_Boats,Plant_processing,Species_processed,Notes,Observer,Database
Bay de Verde,4-28-2021,98,off,on,"fog, drizzle, windy",49,19,8,2,2,0,,,,,,,LESP flying around,Sherry Green,Sherry's Data 2021
Bay de Verde,5-3-2021,55,off,on,"fog, strong wind",67,24,8,2,2,0,,,,,,,LESP flying around,Sherry Green,Sherry's Data 2021
Bay de Verde,5-4-2021,44,off,on,"no wind, no fog",57,25,8,1,1,0,0,,,Several,,,several boats came in,Sherry Green,Sherry's Data 2021
Bay de Verde,5-6-2021,24,off,on,"foggy, no wind",36,2,8,,,,,,,,,,several flying around,Sherry Green,Sherry's Data 2021
Bay de Verde,5-7-2021,16,off,on,"foggy, no wind",NA,Missing,8,,,,,,,,,,several flying around,Sherry Green,Sherry's Data 2021
Bay de Verde,5-17-2021,31,off,on,"foggy, no wind",31,4,8,0,0,0,0,,,,,,"flying around, none collected, one boat came in before midnight",Sherry Green,Sherry's Data 2021
Bay de Verde,5-29-2021,89,off,on,,67,27,8,0,0,0,0,,,,,,"a few came in on boats, none collected",Sherry Green,Sherry's Data 2021
Bay de Verde,5-30-2021,80,off,on,"no wind, no fog",38,25,8,12,9,0,0,,,0,,,"saw 12, collected 9",Sherry Green,Sherry's Data 2021
Bay de Verde,5-31-2021,70,off,on,"clear night, no wind",41,25,8,2,2,0,0,,,,,,several boats came in,Sherry Green,Sherry's Data 2021
Bay de Verde,6-6-2021,13,off,on,"windy, clear",68,26,8,5,,0,,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,6-7-2021,7,off,on,"windy, clear",70,25,8,2,,0,1,,,1,,,"1 boat, eagle came in",Sherry Green,Sherry's Data 2021
Bay de Verde,6-8-2021,3,off,on,"windy, clear",77,24,8,,,,0,,,0,,,several flying around,Sherry Green,Sherry's Data 2021
Bay de Verde,6-16-2021,36,off,on,"windy, foggy",71,16,8,,0,0,0,,,4,,,many flying around,Sherry Green,Sherry's Data 2021
Bay de Verde,6-17-2021,47,off,on,clear,63,24,8,2,2,0,0,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,6-22-2021,96,off,on,"foggy, no wind",50,20,8,,,,,,,,,,several flying around,Sherry Green,Sherry's Data 2021
Bay de Verde,6-24-2021,99,off,on,,46,26,8,1,1,0,0,,,,,,at least one boat came in,Sherry Green,Sherry's Data 2021
Bay de Verde,6-25-2021,100,,on,"no wind, clear",50,26,14,1,1,0,0,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,6-26-2021,97,,on,"foggy, no wind",57,26,14,2,2,0,0,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,6-27-2021,92,,on,"rain, foggy, light winds",65,24,14,0,0,0,0,,,,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,6-28-2021,84,,on,"windy, clear",70,26,14,2,2,0,0,,,,,,"1 boat arrived at 10:30pm, one bird released, second bird injured so released next day",Sherry Green,Sherry's Data 2021
Bay de Verde,6-29-2021,75,,on,"clear night, light winds",44,3,14,0,0,0,0,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,6-30-2021,65,,on,clear,42,26,14,0,0,0,0,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,7-1-2021,55,,on,"rain, fog, winds",44,7,14,0,0,0,0,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,7-2-2021,45,,on,"rain, foggy",42,5,14,1,1,0,0,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,7-3-2021,35,,on,clear night,NA,Missing,14,0,0,0,0,,,,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,7-4-2021,26,off,on,"rain, foggy, wind",45,10,14,1,0,1,0,,,1,,,1 boat arrived at 4am,Sherry Green,Sherry's Data 2021
Bay de Verde,7-5-2021,18,on,on,"clear, windy",49,26,14,0,0,0,0,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,7-6-2021,11,off,on,"clear, windy",70,25,14,2,2,0,0,,,3,,,3 boats arrived after dark,Sherry Green,Sherry's Data 2021
Bay de Verde,7-7-2021,6,off,on,windy,65,24,14,0,0,0,0,,,,,,"no boats, not at quinlans",Sherry Green,Sherry's Data 2021
Bay de Verde,7-8-2021,2,on,on,"clear, no winds",62,25,14,13,13,0,0,,,1,,,"1 boat arrived, many more birds flying around",Sherry Green,Sherry's Data 2021
Bay de Verde,7-9-2021,0,on,on,"clear, light winds",52,19,14,10,10,0,0,,,3,,,"many birds flying around, 3 boats arrived after dark",Sherry Green,Sherry's Data 2021
Bay de Verde,7-10-2021,1,on,on,"foggy, no wind",74,26,14,0,0,0,0,,,0,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,7-11-2021,3,on,on,"foggy, windy",48,17,14,3,3,0,0,,,1,,,1 boat arrived after dark,Sherry Green,Sherry's Data 2021
Bay de Verde,7-12-2021,8,on,on,,59,28,14,0,0,0,0,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,7-13-2021,14,off,on,"clear, no wind",63,35,14,15,15,0,0,,,1,,,1 boat arrived around midnight,Sherry Green,Sherry's Data 2021
Bay de Verde,7-14-2021,23,off,on,"clear, no wind",56,24,14,2,2,0,0,,,1,,,1 boat at around 11:30pm,Sherry Green,Sherry's Data 2021
Bay de Verde,7-15-2021,33,off,on,"clear, light winds",62,25,14,7,0,0,0,,,5,,,5 boats arrived,Sherry Green,Sherry's Data 2021
Bay de Verde,7-16-2021,44,off,on,"clear, light winds",58,26,14,0,0,0,0,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,7-17-2021,56,on,on,"clear, light winds",56,25,14,0,0,0,0,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,7-18-2021,67,on,on,"clear, no wind",37,27,14,3,0,0,0,,,1,,,"1 boat arrived at 12am, a few birds flying around",Sherry Green,Sherry's Data 2021
Bay de Verde,7-19-2021,78,on,on,"clear, light winds",53,20,14,2,0,0,0,,,,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,7-20-2021,87,on,on,"rain, fog",60,20,14,8,8,0,0,,,,,,1 boat at midnight,Sherry Green,Sherry's Data 2021
Bay de Verde,7-21-2021,94,off,on,"fog, light winds",43,25,14,0,0,0,0,,,,,,"a few birds flying around, 1 boat arrived",Sherry Green,Sherry's Data 2021
Bay de Verde,7-22-2021,moon does not pass meridian on this day,off,on,"fog, light winds",36,9,14,0,0,0,0,,,,,,no boats,Sherry Green,Sherry's Data 2021
Bay de Verde,7-23-2021,99,on,on,"fog, light winds",NA,Missing,14,0,0,0,0,,,,,,"many birds flying around, 1 boat after dark",Sherry Green,Sherry's Data 2021
Bay de Verde,7-24-2021,100,on,,,39,25,14,0,0,0,,,,,,,"many birds flying around, lots came in with a boat",Sherry Green,Sherry's Data 2021
Bay de Verde,7-25-2021,98,off,,,39,19,14,0,0,0,,,,,,,,Cheryl,Sherry's Data 2021
Bay de Verde,7-26-2021,94,off,,,39,25,14,0,0,0,,,,,,,Sherry away Cheryl will check + check boxes,Cheryl,Sherry's Data 2021
Bay de Verde,7-27-2021,88,on,,,59,20,14,0,0,0,,,,,,,Sherry away Cheryl will check + check boxes,Cheryl,Sherry's Data 2021
Bay de Verde,7-28-2021,80,on,,,43,21,14,0,0,0,,,,,,,Sherry away Cheryl will check + check boxes,Cheryl,Sherry's Data 2021
Bay de Verde,7-29-2021,71,off,,,55,26,14,0,0,0,,,,,,,Sherry away Cheryl will check + check boxes,Cheryl,Sherry's Data 2021
Bay de Verde,7-30-2021,62,on,,,67,17,14,0,0,0,,,,,,,Sherry away Cheryl will check + check boxes,Cheryl,Sherry's Data 2021
Bay de Verde,7-31-2021,52,off,,,68,24,14,0,0,0,,,,,,,Sherry away Cheryl will check + check boxes,Cheryl,Sherry's Data 2021
Bay de Verde,8-1-2021,42,off,,,59,25,14,0,0,0,,,,,,,,Cheryl,Sherry's Data 2021
Bay de Verde,8-2-2021,33,on,,"very windy, foggy",78,18,14,2,1,1,,,,0,,,Many birds flying around.,Cheryl,Sherry's Data 2021
Bay de Verde,8-3-2021,24,on,,"very windy, clear",72,19,14,4,1,3,,,,0,,,Many birds flying around.,Sherry Green,Sherry's Data 2021
Bay de Verde,8-4-2021,16,off,,"clear, windy",61,27,14,1,1,0,,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,8-5-2021,9,on,,"windy, clear",50,26,14,13,13,13,,,,0,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,8-6-2021,4,off,,"very windy, clear",66,25,14,4,1,3,,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,8-7-2021,1,off,,"light winds, clear",65,25,14,0,0,0,,,,,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,8-8-2021,0,on,,"light winds, clear",51,26,14,4,1,3,,,,0,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,8-9-2021,2,off,,"light winds, clear",43,22,14,1,1,0,,,,,,,lights were turned on until 10:30 pm due to work on the wharf,Sherry Green,Sherry's Data 2021
Bay de Verde,8-10-2021,6,on,,"light winds, clear",51,26,14,28,26,2,,,,0,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,8-11-2021,12,on,,"light winds, clear",50,25,14,6,5,1,,,,0,,,,Sherry Green,Sherry's Data 2021
Bay de Verde,8-12-2021,20,off,on,"light winds, foggy",32,21,14,0,0,0,,,,,,,,Sherry Green,Sherry's Data 2021
