Date,Time,Plant_lights,Wharf lights,Total_LESP_per_round,Total_LESP_per_night,Total_ad_LESP_per_night,Total_juv_LESP_per_night,Total_unk_LESP_per_night,Live_LESP_per_night,Dead_LESP_per_night,Live_adults,Dead_adults,Live_breeding_adults,Dead_breeding_adults,Live_nonbreeders,Dead_nonbreeders,Live_juveniles,Dead_juveniles,Location of birds?,# of gulls,# of cats,"# other predators , please list",Weather_Conditions,Lunar,Wind_Speed,Wind_Direction,# of boats,"Time of boats arrival (24 hr time, please list with comma in between)",Size of vessel (ft) (please list with comma in between),Type of lighting on boats (please list with comma in between and specify ON/OFF),Notes,Ref,Weather Coding
04/20/2022,22:01:00,On,On,0,,,,,,,,,,,,,,,NA,1500,0,,"1
4",84,87,18,0,,,,1 common murre,,
04/20/2022,23:50:00,Off,On,0,0,0,0,0,,0,,,,,,,,,NA,1500,0,2 otters,"1
5",84,87,18,0,,,,,,
04/21/2022,00:32:00,Off,On,0,0,0,0,0,,0,,,,,,,,,NA,1500,0,,"1
5",74.1,NA,NA,1,,,,,,
05/04/2022,21:48:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,146,0,0,0,13.9,34,20,0,,,,"Weather was not available, used weather from same night",,
05/04/2022,23:01:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,170,0,0,0,13.9,34,20,0,,,,"1 thick-billed murre, conservative estimate of gulls 170+",,
05/04/2022,23:59:00,Off,On,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,NA,170,0,0,0,13.9,34,20,0,,,,"Weather was not available, used weather from same night",,
05/18/2022,21:59:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,,0,0,0,93.8,93,18,1,21:37,32,LED on,Back lights left on,10 pm May 18 custom weather data,
05/18/2022,23:09:00,Off,On,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,NA,140,1,0,0,93.8,93,18,0,,,,"2 LESP seen flying over rock wall, back lights on",11 pm May 18 custom weather data,
05/19/2022,00:00:00,Off,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,,0,O,0,86.3,52,24,0,,,,"Two LESP spotted over rock wall flying, back plant lights still on",12 am May 19 custom weather dats,
06/01/2022,21:33:00,On,On,0,4,4,0,0,4,0,0,0,0,0,0,0,0,0,NA,400,0,0,"1
4",4.6,50,2,0,,,,"230 predatory gulls, rest were not predatory",,
06/01/2022,23:34:00,On,On,0,,,,,,,0,0,0,0,0,0,0,0,NA,135,0,0,5,4.6,50,2,1,22:39,80,On not LED,Saw about 6 flying around the plant but none stranded,,
