Date ,Time,Alive_dead,Age,Wing_length,Bag_weight,Bag_bird_weight,Injuries,Notes,Band_number,Bander,Observer,Breeding_status
02-Jun-22,1:01:00,Alive,Ad,161,19,64,,,,,Tori Burt & Parker Doiron,
02-Jun-22,1:39:00,Alive,Ad,158,10.1,55,,,,,Tori Burt & Parker Doiron,
02-Jun-22,1:45:00,Alive,Ad,159,,,,,,,Tori Burt & Parker Doiron,
02-Jun-22,3:13:00,Alive,Ad,,,,,,,,Tori Burt & Parker Doiron,
13-Jun-22,23:14:00,Alive,Ad,157,18,58,,,,,Tori Burt & Parker Doiron,
13-Jun-22,23:45:00,Alive,Ad,160,27,81,,,,,Tori Burt & Parker Doiron,
14-Jun-22,0:10:00,Alive,Ad,163,11,58,,Actual weight on other sub,,,Tori Burt & Parker Doiron,
14-Jun-22,0:23:00,Dead,Ad,,,,Injured,,,,Tori Burt & Parker Doiron,
14-Jun-22,0:43:00,Alive,Ad,160,29,75,,,,,Tori Burt & Parker Doiron,
14-Jun-22,0:49:00,Alive,Ad,167,20,68,,,,,Tori Burt & Parker Doiron,
14-Jun-22,0:58:00,Alive,Ad,156,20,69,Injured,Bleeding nose,,,Tori Burt & Parker Doiron,
14-Jun-22,1:06:00,Dead,Ad,,,,,Carried away by cat,,,Tori Burt & Parker Doiron,
14-Jun-22,1:47:00,Alive,Ad,157,28,80,,,,,Tori Burt & Parker Doiron,
14-Jun-22,1:53:00,Alive,Ad,161,27,85,,,,,Tori Burt & Parker Doiron,
14-Jun-22,1:57:00,Alive,Ad,159,28,74,,"Last one is incomplete data, submitted accidentally",,,Tori Burt & Parker Doiron,
14-Jun-22,2:41:00,Alive,Ad,161,11,55,,,,,Tori Burt & Parker Doiron,
29-Jun-22,23:13:00,Dead,Ad,,,,,Old and deteriorated,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,0:04:00,Alive,Ad,168,26,72,,,246111825,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,0:29:00,Alive,Ad,164,29,75,,,246111826,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,0:46:00,Alive,Ad,157,19,60,,,246111827,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,0:50:00,Alive,Ad,161,27,73,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,0:50:00,Alive,Ad,159,60,21,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,1:30:00,Alive,Ad,157,11,55,Injured,"Bleeding from mouth, likely a concussion",,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,1:30:00,Alive,Ad,161,44,86,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,1:30:00,Alive,Ad,160,21,63,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,1:34:00,Alive,Ad,169,11,57,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,1:37:00,Alive,Ad,163,10,51,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,1:41:00,Alive,Ad,163,11,51,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,1:44:00,Alive,Ad,154,29,67,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,1:49:00,Alive,Ad,154,27,73,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,2:16:00,Alive,Ad,160,21,66,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,2:44:00,Alive,Ad,156,21,66,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,2:51:00,Alive,Ad,160,44,88,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,3:13:00,Alive,Ad,160,27,71,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
30-Jun-22,3:16:00,Alive,Ad,160,21,65,,,,,Bill Montevecchi & Parker Doiron & Noah Careen,
14-Jul-22,0:28:00,Alive,Ad,157,19,59,,Banded with Mohammad Fahmy,246111828,TVB,Tori Burt & Mohammad Fahmy,Non-breeding
14-Jul-22,1:11:00,Alive,Ad,164,19,63,,"Caught at same time, band lost : 246111831 no brood patch sub adult",246111830,MF,Tori Burt & Mohammad Fahmy,Non-breeding
14-Jul-22,1:11:00,Alive,Ad,161,38,72,,"Bitey, brood patch not vascularized",246111829,TVB,Tori Burt & Mohammad Fahmy,Breeding
27-Jul-22,23:10:00,Alive,Ad,169,19,66,,,,,Tori Burt & Parker Doiron,Breeding
27-Jul-22,23:35:00,Alive,Ad,158,19,62,,,,,Tori Burt & Parker Doiron,Breeding
